Date,Close,Return,CRet,Position
2024-03-06, 559924, 7246, 122798, 17
2024-03-07, 557129, -2376, 120422, 26
2024-03-10, 556695, -565, 119857, 35
2024-03-11, 561869, 9056, 128913, 26
2024-03-12, 561735, -174, 128739, 23
2024-03-13, 559617, -2436, 126303, 29
2024-03-14, 555917, -5365, 120938, 35
2024-03-17, 559215, 5771, 126709, 30
2024-03-18, 561896, 4022, 130731, 26
2024-03-19, 567983, 7912, 138643, 0
2024-03-20, 569189, 0, 138643, 23
2024-03-21, 567259, -2220, 136423, 30
2024-03-24, 566347, -1367, 135055, 35
2024-03-25, 565435, -1595, 133460, 31
2024-03-26, 569270, 5943, 139403, 23
2024-03-27, 568814, -524, 138879, 26
2024-03-31, 567741, -1394, 137485, 29
2024-04-01, 564363, -4899, 132586, 35
2024-04-02, 565114, 1314, 133900, 31
2024-04-03, 557365, -12010, 121890, 35
2024-04-04, 563639, 10979, 132869, 35
2024-04-07, 563746, 188, 133057, 30
2024-04-08, 564711, 1448, 134504, 28
2024-04-09, 558089, -9272, 125233, 35
2024-04-10, 562325, 7413, 132646, 35
2024-04-11, 554121, -14358, 118289, 36
2024-04-14, 547069, -12693, 105596, 36
2024-04-15, 546399, -1207, 104389, 36
2024-04-16, 542806, -6467, 97922, 36
2024-04-17, 541385, -2558, 95365, 36
2024-04-18, 536639, -8542, 86822, 37
2024-04-21, 541492, 8978, 95800, 32
2024-04-22, 548249, 10811, 106611, 30
2024-04-23, 544737, -5269, 101342, 27
2024-04-24, 550367, 7601, 108943, 18
2024-04-25, 550367, 0, 108943, 18
2024-04-28, 552029, 1496, 110440, 0
2024-04-29, 542136, -0, 110440, 36
2024-04-30, 541975, -290, 110150, 36
2024-05-01, 548035, 10907, 121057, 36
2024-05-02, 553558, 9942, 130999, 18
2024-05-05, 558250, 4223, 135222, 17
2024-05-06, 558947, 593, 135814, 23
2024-05-07, 558786, -185, 135629, 28
2024-05-08, 562057, 4579, 140209, 17
2024-05-09, 562111, 46, 140254, 23
2024-05-12, 562272, 185, 140439, 23
2024-05-13, 565114, 3268, 143708, 35
2024-05-14, 571656, 11449, 155156, -34
2024-05-15, 570154, 2552, 157709, 23
2024-05-16, 571441, 1480, 159189, 25
2024-05-19, 571843, 503, 159692, 25
2024-05-20, 573130, 1609, 161300, 17
2024-05-21, 571790, -1140, 160161, 34
2024-05-22, 566937, -8250, 151911, 35
2024-05-23, 570664, 6522, 158433, 35
2024-05-26, 570959, 516, 158949, 29
2024-05-28, 565167, -8397, 150551, 35
2024-05-29, 563103, -3613, 146938, 35
2024-05-30, 568358, 9196, 156135, 35
2024-06-02, 568412, 94, 156229, 28
2024-06-03, 568975, 788, 157017, 23
2024-06-04, 575436, 7431, 164448, -34
2024-06-05, 575195, 410, 164858, 17
2024-06-06, 574176, -866, 163992, 25
2024-06-09, 575892, 2145, 166137, 17
2024-06-10, 577394, 1276, 167413, 0
2024-06-11, 583265, 0, 167413, 0
2024-06-12, 583024, -0, 167413, 0
2024-06-13, 582944, -0, 167413, 22
2024-06-16, 587689, 5220, 172634, -34
2024-06-17, 589278, -2702, 169932, -33
2024-06-18, 587371, 3146, 173079, 25
2024-06-20, 586577, -993, 172085, 34
2024-06-23, 584326, -3827, 168258, 30
2024-06-24, 586444, 3178, 171436, 29
2024-06-25, 586259, -269, 171168, 29
2024-06-26, 587901, 2381, 173549, 22
2024-06-27, 586180, -1894, 171655, 29
2024-06-30, 586100, -115, 171540, 34
2024-07-01, 589278, 5403, 176943, 26
2024-07-02, 592271, 3891, 180834, 16
2024-07-03, 594893, 2098, 182931, 16
2024-07-07, 596271, 1102, 184033, 0
2024-07-08, 596668, 0, 184033, 22
2024-07-09, 602230, 6118, 190151, 16
2024-07-10, 597568, -3729, 186422, 22
2024-07-11, 600455, 3176, 189598, 33
2024-07-14, 602627, 3584, 193181, 16
2024-07-15, 605541, 2331, 195512, 0
2024-07-16, 597860, -0, 195512, 33
2024-07-17, 593278, -7560, 187952, 33
2024-07-18, 588245, -8303, 179648, 33
2024-07-21, 594152, 9745, 189394, 27
2024-07-22, 593490, -894, 188500, 28
2024-07-23, 580909, -17613, 170887, 34
2024-07-24, 576830, -6934, 163953, 34
2024-07-25, 582578, 9771, 173724, 34
2024-07-28, 583160, 991, 174714, 29
2024-07-29, 577598, -8065, 166649, 30
2024-07-30, 590152, 18831, 185480, 27
2024-07-31, 579611, -14231, 171250, 28
2024-08-01, 567640, -16760, 154490, 35
2024-08-04, 555959, -20440, 134049, 35
2024-08-05, 555986, 46, 134096, 32
2024-08-06, 551192, -7670, 126426, 32
2024-08-07, 566951, 25214, 151640, 32
2024-08-08, 568381, 2288, 153928, 31
2024-08-11, 568699, 493, 154421, 31
2024-08-12, 577969, 14368, 168789, 27
2024-08-13, 580750, 3754, 172544, 28
2024-08-14, 589755, 12607, 185151, 26
2024-08-15, 591212, 1894, 187044, 26
2024-08-18, 595926, 6129, 193173, 27
2024-08-19, 595450, -644, 192530, 26
2024-08-20, 597648, 2858, 195387, 22
2024-08-21, 593119, -4982, 190405, 33
2024-08-22, 598654, 9134, 199539, 16
2024-08-25, 596456, -1759, 197780, 26
2024-08-26, 597860, 1825, 199605, 33
2024-08-27, 592483, -8871, 190734, 33
2024-08-28, 595185, 4458, 195191, 33
2024-08-29, 599263, 6730, 201921, 26
2024-09-02, 586709, -16320, 185601, 34
2024-09-04, 583902, -4773, 180828, 34
2024-09-05, 572513, -19361, 161467, 34
2024-09-08, 581333, 14994, 176461, 34
2024-09-09, 582657, 2251, 178712, 29
2024-09-10, 588775, 8871, 187583, 22
2024-09-11, 592933, 4574, 192158, 22
2024-09-12, 596085, 3467, 195624, 22
2024-09-15, 596853, 845, 196469, 16
2024-09-16, 597587, 587, 197056, 24
2024-09-17, 596329, -1509, 195547, 27
2024-09-18, 605212, 11992, 207539, 16
2024-09-19, 603561, -1321, 206218, 16
2024-09-22, 605238, 1342, 207560, -33
2024-09-23, 607151, -3156, 204404, 0
2024-09-24, 606182, -0, 204404, 24
2024-09-25, 608304, 2547, 206951, 21
2024-09-26, 606391, -2008, 204942, 25
2024-09-29, 608540, 2686, 207628, 32
2024-09-30, 603378, -8259, 199369, 33
2024-10-01, 604767, 2291, 201660, 33
2024-10-02, 602041, -4496, 197164, 30
2024-10-03, 607413, 8057, 205221, 24
2024-10-06, 602697, -5660, 199561, 28
2024-10-07, 607675, 6970, 206531, 32
2024-10-08, 611763, 6540, 213072, 21
2024-10-09, 611186, -605, 212466, 24
2024-10-10, 613466, 2736, 215202, 16
2024-10-13, 619860, 5115, 220317, -32
2024-10-14, 614252, 8972, 229289, 24
2024-10-15, 616689, 2924, 232213, 32
2024-10-16, 617108, 671, 232884, 21
2024-10-17, 619178, 2174, 235057, -32
2024-10-20, 618235, 1509, 236567, 32
2024-10-21, 617030, -1929, 234638, 28
2024-10-22, 612287, -6640, 227998, 32
2024-10-23, 613466, 1887, 229885, 28
2024-10-24, 612261, -1687, 228197, 29
2024-10-27, 614645, 3457, 231655, 25
2024-10-28, 616113, 1834, 233489, 32
2024-10-29, 612654, -5534, 227955, 29
2024-10-30, 601413, -16300, 211655, 33
2024-10-31, 603640, 3675, 215330, 33
2024-11-03, 602566, -1773, 213558, 33
2024-11-04, 610217, 12625, 226182, 26
2024-11-05, 625284, 19587, 245769, 23
2024-11-06, 629528, 4882, 250651, 24
2024-11-07, 631310, 2138, 252789, 24
2024-11-10, 631887, 692, 253481, 20
2024-11-11, 630157, -1729, 251751, 31
2024-11-12, 630760, 934, 252685, 25
2024-11-13, 626148, -5765, 246921, 31
2024-11-14, 618366, -12063, 234858, 32
2024-11-17, 620357, 3186, 238044, 32
2024-11-18, 622270, 3061, 241105, 32
2024-11-19, 622558, 461, 241566, 26
2024-11-20, 625415, 3713, 245279, 23
2024-11-21, 627904, 2863, 248142, 15
2024-11-24, 630210, 1729, 249871, 15
2024-11-25, 633223, 2260, 252131, 15
2024-11-26, 630446, -2083, 250048, 23
2024-11-27, 634271, 4399, 254448, 0
2024-12-01, 635477, 0, 254448, 0
2024-12-02, 635896, 0, 254448, 15
2024-12-03, 638883, 2240, 256688, 15
2024-12-04, 637861, -766, 255921, 24
2024-12-05, 639014, 1384, 257305, 15
2024-12-08, 635477, -2653, 254652, 31
2024-12-09, 634428, -1625, 253027, 31
2024-12-10, 638018, 5564, 258592, 26
2024-12-11, 635005, -3917, 254674, 27
2024-12-12, 634219, -1061, 253613, 31
2024-12-15, 636918, 4183, 257796, 27
2024-12-16, 634432, -3356, 254441, 28
2024-12-17, 615245, -26861, 227579, 32
2024-12-18, 615375, 207, 227786, 32
2024-12-19, 621071, 9114, 236901, 32
2024-12-22, 625136, 6504, 243405, 25
2024-12-23, 631687, 8189, 251594, 20
2024-12-25, 630911, -777, 250817, 23
2024-12-26, 624437, -7444, 243373, 32
2024-12-29, 616695, -12387, 230985, 32
2024-12-30, 615038, -2651, 228334, 32
2025-01-01, 613148, -3024, 225310, 32
2025-01-02, 619958, 10896, 236205, 24
2025-01-05, 624360, 5282, 241488, 16
2025-01-06, 616773, -6069, 235418, 26
2025-01-07, 616773, 0, 235418, 32
2025-01-08, 615660, -1781, 233637, 28
2025-01-09, 607063, -12035, 221602, 32
2025-01-12, 609212, 3439, 225040, 32
2025-01-13, 610170, 1533, 226573, 26
2025-01-14, 620139, 12959, 239533, 16
2025-01-15, 618249, -1512, 238020, 25
2025-01-16, 624800, 8189, 246209, 16
2025-01-19, 630988, 4951, 251160, 15
2025-01-21, 633862, 2156, 253316, 20
2025-01-22, 636788, 2926, 256241, 20
2025-01-23, 635079, -1709, 254533, 23
2025-01-26, 626690, -9648, 244885, 31
2025-01-27, 630911, 6542, 251427, 26
2025-01-28, 629331, -2053, 249373, 26
2025-01-29, 630988, 2154, 251528, 24
2025-01-30, 628218, -3325, 248203, 27
2025-02-02, 627156, -1433, 246770, 31
2025-02-03, 626172, -1525, 245245, 27
2025-02-04, 630729, 6152, 251397, 25
2025-02-05, 631195, 583, 251979, 20
2025-02-06, 626612, -4583, 247396, 27
2025-02-09, 630496, 5243, 252640, 31
2025-02-10, 630833, 522, 253161, 20
2025-02-11, 629694, -1139, 252022, 24
2025-02-12, 635105, 6494, 258516, 24
2025-02-13, 635286, 218, 258734, 0
2025-02-16, 636374, 0, 258734, -31
2025-02-18, 637462, -1686, 257048, 0
2025-02-19, 635209, -0, 257048, 31
2025-02-20, 624515, -16575, 240473, 32
2025-02-23, 622003, -4019, 236454, 32
2025-02-24, 619310, -4309, 232145, 32
2025-02-25, 620424, 1781, 233927, 29
2025-02-26, 609134, -16370, 217557, 32
2025-02-27, 617058, 12677, 230234, 32
2025-03-02, 608487, -13713, 216521, 32
2025-03-03, 603334, -8244, 208277, 33
2025-03-04, 605432, 3461, 211738, 33
2025-03-05, 596706, -14398, 197340, 33
2025-03-06, 597871, 1923, 199262, 33
2025-03-09, 583034, -24481, 174782, 34
2025-03-10, 577597, -9244, 165538, 34
2025-03-11, 579772, 3698, 169236, 34
2025-03-12, 573583, -10520, 158715, 34
2025-03-13, 583060, 16111, 174826, 30
2025-03-16, 588265, 7807, 182633, 26
2025-03-17, 581825, -8372, 174261, 29
2025-03-18, 588008, 8965, 183227, 22
2025-03-19, 586623, -1524, 181703, 28
2025-03-20, 587008, 539, 182241, 34
2025-03-23, 596552, 16225, 198466, 24
2025-03-24, 598476, 2309, 200775, 22
2025-03-25, 590574, -8692, 192083, 22
2025-03-26, 589240, -1468, 190615, 33
2025-03-27, 574975, -23537, 167079, 34
2025-03-30, 579311, 7371, 174450, 34
2025-03-31, 582107, 4754, 179204, 29
2025-04-01, 573153, -12983, 166221, 30
2025-04-02, 556323, -25245, 140975, 35
2025-04-03, 523073, -58188, 82787, 38
2025-04-06, 525254, 4143, 86931, 38
2025-04-07, 514350, -20717, 66214, 38
2025-04-08, 565918, 97980, 164194, 35
2025-04-09, 544290, -37849, 126345, 36
2025-04-10, 553757, 17041, 143385, 36
2025-04-13, 557452, 6650, 150035, 30
2025-04-14, 556759, -1039, 148996, 31
2025-04-15, 543906, -19923, 129073, 36
2025-04-16, 546548, 4757, 133830, 36
2025-04-20, 532001, -26184, 107645, 37
2025-04-21, 545445, 24871, 132516, 36
2025-04-22, 555246, 17641, 150157, 30
2025-04-23, 566431, 16779, 166936, 28
2025-04-24, 569844, 4777, 171713, 29
2025-04-27, 569074, -1116, 170597, 30
2025-04-28, 572871, 5696, 176293, 28
2025-04-29, 576591, 5208, 181501, 28
2025-04-30, 575822, -1078, 180424, 30
2025-05-01, 586058, 15355, 195779, 25
2025-05-04, 582030, -5035, 190744, 25
2025-05-05, 576283, -7184, 183560, 29
2025-05-06, 579465, 4613, 188173, 34
2025-05-07, 583390, 6673, 194846, 0
2025-05-08, 583287, -0, 194846, 25
2025-05-11, 602221, 23668, 218514, 0
2025-05-12, 605557, 0, 218514, 0
2025-05-13, 606096, 0, 218514, 16
2025-05-14, 608969, 2299, 220812, 16
2025-05-15, 610457, 1190, 222003, 16
2025-05-18, 613767, 2648, 224651, 0
2025-05-19, 611073, -0, 224651, 16
2025-05-20, 601221, -7881, 216769, 33
2025-05-21, 602170, 1566, 218335, 33
2025-05-22, 596782, -8890, 209446, 33
2025-05-25, 609636, 21208, 230654, 28
2025-05-27, 608122, -2119, 228535, 26
2025-05-28, 607224, -1167, 227368, 28
2025-05-29, 606891, -467, 226901, 32
2025-06-01, 610534, 5829, 232730, 28
2025-06-02, 613664, 4382, 237112, 21
2025-06-03, 613382, -296, 236815, 21
2025-06-04, 609533, -4041, 232775, 26
2025-06-05, 616768, 9405, 242180, 32
2025-06-08, 616999, 369, 242549, -32
2025-06-09, 619898, -4639, 237911, 0
2025-06-10, 618616, -0, 237911, 21
2025-06-11, 620078, 1536, 239446, 32
2025-06-12, 613484, -10550, 228897, 32
2025-06-15, 619591, 9770, 238666, 32
2025-06-16, 614199, -8626, 230040, 28
2025-06-17, 614072, -178, 229862, 28
2025-06-18, 612902, -1638, 228224, 32
2025-06-19, 612953, 81, 228306, 32
2025-06-22, 618268, 8504, 236810, 32
2025-06-23, 624906, 10620, 247430, 0
2025-06-24, 625211, 0, 247430, 0
2025-06-25, 630246, 0, 247430, 15
2025-06-26, 632790, 1907, 249338, 15
2025-06-29, 635307, 1888, 251226, 15
2025-06-30, 635612, 229, 251455, 0
2025-07-01, 638588, 0, 251455, -31
2025-07-02, 643267, -7253, 244202, 0
2025-07-03, 637138, -0, 244202, 25
2025-07-06, 636757, -477, 243725, 31
2025-07-07, 638028, 1971, 245696, 24
2025-07-08, 641513, 4181, 249877, 20
2025-07-09, 643064, 1551, 251428, 0
2025-07-10, 640292, -0, 251428, 24
2025-07-13, 641843, 1862, 253290, 31
2025-07-14, 638181, -5676, 247613, 27
2025-07-15, 640801, 3536, 251150, 31
2025-07-16, 645175, 6780, 257930, 20
2025-07-17, 644488, -687, 257243, 20
2025-07-20, 645811, 1322, 258565, 20
2025-07-21, 645709, -102, 258464, 30
2025-07-22, 651634, 8888, 267352, 20
2025-07-23, 651685, 51, 267403, 0
2025-07-24, 653949, 0, 267403, 0
2025-07-27, 653542, -0, 267403, 22
2025-07-28, 651406, -2350, 265053, 30
2025-07-29, 653694, 3433, 268486, 30
2025-07-30, 647896, -8698, 259789, 30
2025-07-31, 637138, -16136, 243652, 31
2025-08-03, 647947, 16753, 260405, 30
2025-08-04, 643318, -6943, 253463, 27
2025-08-05, 648074, 6420, 259883, 24
2025-08-06, 648354, 336, 260218, 22
2025-08-07, 653593, 5763, 265981, 0
2025-08-10, 650668, -0, 265981, 24
2025-08-11, 658069, 8881, 274862, 0
2025-08-12, 659620, 0, 274862, 0
2025-08-13, 660230, 0, 274862, 0
2025-08-14, 657891, -0, 274862, 24
2025-08-17, 657891, 0, 274862, 26
2025-08-18, 654610, -4265, 270597, 30
2025-08-19, 652550, -3090, 267507, 30
2025-08-20, 650134, -3624, 263883, 27
2025-08-21, 659645, 12840, 276724, 26
2025-08-24, 657102, -3306, 273417, 25
2025-08-25, 659925, 3529, 276946, 25
2025-08-26, 659722, -254, 276692, 20
2025-08-27, 662901, 3179, 279871, 20
2025-08-28, 658552, -4349, 275522, 30
2025-08-31, 655881, -4005, 271516, 30
2025-09-01, 655551, -496, 271021, 30
2025-09-02, 657178, 2441, 273462, 24
2025-09-03, 662519, 6409, 279871, 24
2025-09-04, 660078, -2930, 276941, 22
2025-09-07, 661909, 2014, 278955, 15
2025-09-08, 664325, 1812, 280767, 0
2025-09-09, 665011, 0, 280767, 15
2025-09-10, 670556, 4158, 284925, 14
2025-09-11, 670225, -231, 284694, 23
2025-09-14, 673099, 3305, 287999, 19
2025-09-15, 672645, -431, 287568, 21
2025-09-16, 672267, -397, 287170, 29
2025-09-17, 675544, 4752, 291923, 0
2025-09-18, 677662, 0, 291923, -29
2025-09-21, 680713, -4423, 287500, 0
2025-09-22, 677284, -0, 287500, 23
2025-09-23, 675368, -2203, 285296, 29
2025-09-24, 671838, -5118, 280178, 29
2025-09-25, 675418, 5191, 285369, 25
2025-09-28, 670775, -5804, 279565, 29
2025-09-28, 676527, 8341, 287906, 23
2025-09-29, 678141, 1856, 289762, 19
2025-09-30, 681393, 3090, 292852, 29
2025-10-01, 682225, 1206, 294058, 0
2025-10-02, 682024, -0, 294058, 21
2025-10-05, 684772, 2885, 296943, -29
2025-10-06, 682225, 3692, 300636, 29
2025-10-07, 686083, 5593, 306229, 14
2025-10-08, 683713, -1659, 304570, 24
2025-10-09, 660619, -27713, 276857, 30
2025-10-12, 674662, 21064, 297922, 29
2025-10-13, 674132, -768, 297154, 29
2025-10-14, 677032, 4204, 301358, 23
2025-10-15, 671586, -6263, 295095, 24
2025-10-16, 676780, 6232, 301328, 29
2025-10-19, 683763, 10126, 311454, 21
2025-10-20, 682956, -847, 310607, 24
2025-10-21, 679427, -4236, 306371, 24
2025-10-22, 683486, 4871, 311242, 24
2025-10-23, 688301, 5778, 317021, 14
2025-10-26, 697251, 6265, 323286, 14
2025-10-27, 698613, 953, 324239, 0
2025-10-28, 697680, -0, 324239, 14
2025-10-29, 695285, -1677, 322562, 28
2025-10-30, 693016, -3177, 319385, 28
2025-11-02, 694226, 1694, 321080, 25
2025-11-03, 686385, -9801, 311279, 29
2025-11-04, 688528, 3107, 314386, 29
2025-11-05, 682175, -9212, 305174, 29
2025-11-06, 681595, -841, 304333, 29
2025-11-09, 691528, 14403, 318736, 22
2025-11-10, 693218, 1858, 320594, 21
2025-11-11, 693142, -79, 320515, 22
2025-11-12, 681923, -12341, 308174, 29
2025-11-13, 682225, 439, 308613, 29
2025-11-16, 675393, -9907, 298706, 29
2025-11-17, 668384, -10163, 288543, 29
2025-11-18, 675242, 9943, 298486, 29
2025-11-19, 660770, -20984, 277503, 30
2025-11-20, 668762, 11988, 289491, 29
2025-11-23, 678191, 13672, 303163, 23
2025-11-24, 683814, 6466, 309629, 21
2025-11-25, 688780, 5215, 314844, 21
2025-11-26, 691554, 2912, 317756, 18
2025-11-30, 688453, -2791, 314965, 24
2025-12-01, 690066, 1936, 316901, 23
2025-12-02, 692285, 2551, 319452, 14
2025-12-03, 692386, 71, 319523, 0
2025-12-04, 693772, 0, 319523, 18
2025-12-07, 692234, -1384, 318139, 28
2025-12-08, 690444, -2506, 315633, 25
2025-12-09, 695159, 5893, 321526, 22
2025-12-10, 698310, 3467, 324992, 28
2025-12-11, 689133, -12848, 312145, 29
2025-12-14, 688150, -1426, 310719, 29
2025-12-15, 684825, -4821, 305898, 29
2025-12-16, 678650, -8954, 296944, 29
2025-12-17, 682300, 5292, 302236, 29
2025-12-18, 689325, 10186, 312423, 19
2025-12-21, 693075, 3562, 315985, 14
2025-12-22, 695750, 1872, 317858, 0
2025-12-23, 698000, 0, 317858, 0
2025-12-25, 697700, -0, 317858, 18
2025-12-28, 695625, -1868, 315990, 28
2025-12-29, 694525, -1540, 314450, 25
2025-12-30, 689375, -6438, 308013, 29
2026-01-01, 690075, 1015, 309028, 28
2026-01-04, 694600, 6335, 315363, 22
2026-01-06, 698925, 4758, 320120, 21
2026-01-07, 697600, -1391, 318729, 24
2026-01-08, 700300, 3240, 321969, 22
2026-01-11, 701150, 935, 322904, 18
2026-01-12, 699900, -1125, 321779, 21
2026-01-13, 696025, -4069, 317710, 28
2026-01-14, 698350, 3255, 320965, 24
2026-01-15, 697800, -660, 320305, 24
2026-01-18, 683750, -16860, 303445, 29
2026-01-20, 691525, 11274, 314719, 28
2026-01-21, 694025, 3500, 318219, 24
2026-01-22, 693400, -750, 317469, 23
2026-01-25, 697700, 4945, 322414, 28
2026-01-26, 700925, 4515, 326929, 0
2026-01-27, 701675, 0, 326929, -28
2026-01-28, 699000, 3745, 330674, 28
2026-01-29, 696125, -4025, 326649, 28
2026-02-01, 700450, 6055, 332704, 28
